,name,latitude,longitude,category,geometry
0,Starbucks,37.77708998,-122.4172976,starbucks,POINT (-122.4172976 37.77708998)
1,Starbucks,37.78414314368152,-122.40759611781183,starbucks,POINT (-122.4075961178118 37.78414314368152)
2,Starbucks,37.769122,-122.428353,starbucks,POINT (-122.428353 37.769122)
3,Starbucks,37.76094136479826,-122.43460829381506,starbucks,POINT (-122.4346082938151 37.76094136479826)
4,Starbucks,37.78617,-122.40906,starbucks,POINT (-122.40906 37.78617)
5,Starbucks,37.76288,-122.410435,starbucks,POINT (-122.410435 37.76288)
6,Starbucks,37.782738,-122.431519,starbucks,POINT (-122.431519 37.782738)
7,Starbucks,37.7658775,-122.4034495,starbucks,POINT (-122.4034495 37.7658775)
8,Starbucks,37.789148154590805,-122.4084517461412,starbucks,POINT (-122.4084517461412 37.78914815459081)
9,Starbucks,37.77019,-122.403465,starbucks,POINT (-122.403465 37.77019)
10,Starbucks,37.78460482335003,-122.40407784213264,starbucks,POINT (-122.4040778421326 37.78460482335003)
11,Starbucks,37.778704130065606,-122.39672748086369,starbucks,POINT (-122.3967274808637 37.77870413006561)
12,Starbucks,37.78615912,-122.4056946,starbucks,POINT (-122.4056946 37.78615912)
13,Starbucks,37.78712238,-122.4106742,starbucks,POINT (-122.4106742 37.78712238)
14,Starbucks,37.76728657794835,-122.39392612290195,starbucks,POINT (-122.3939261229019 37.76728657794835)
15,Starbucks,37.790268,-122.422066,starbucks,POINT (-122.422066 37.790268)
16,Starbucks,37.78936,-122.40682,starbucks,POINT (-122.40682 37.78936)
17,Starbucks,37.790179,-122.433972,starbucks,POINT (-122.433972 37.790179)
18,Starbucks,37.78736,-122.40318,starbucks,POINT (-122.40318 37.78736)
19,Starbucks,37.788567,-122.42222,starbucks,POINT (-122.42222 37.788567)
0,Chinese American International School,37.7752754784242,-122.42211084784351,schools,POINT (-122.4221108478435 37.7752754784242)
1,John Muir Elementary School,37.77362422191254,-122.42836267623498,schools,POINT (-122.428362676235 37.77362422191254)
2,John Swett Alternative Elementary School,37.780412,-122.42291599999999,schools,POINT (-122.422916 37.780412)
3,Marshall Elementary,37.76630236551456,-122.41882498414205,schools,POINT (-122.418824984142 37.76630236551456)
4,C5 Children's School,37.778864078509734,-122.41458373129642,schools,POINT (-122.4145837312964 37.77886407850973)
0,Ananda Fuara,37.77769251469199,-122.41635331222618,vegan,POINT (-122.4163533122262 37.77769251469199)
1,Shizen,37.76819038843062,-122.42162728988704,vegan,POINT (-122.421627289887 37.76819038843062)
2,Hella Vegan Eats,37.770232781504006,-122.41399998333559,vegan,POINT (-122.4139999833356 37.77023278150401)
3,Golden Era Vegan,37.78149473910515,-122.41682231651436,vegan,POINT (-122.4168223165144 37.78149473910515)
4,Woodblock,37.778018,-122.421525,vegan,POINT (-122.421525 37.778018)
5,Baia,37.77815,-122.421775,vegan,POINT (-122.421775 37.77815)
0,Kezar Stadium,37.766847390962376,-122.45598435401917,stadium,POINT (-122.4559843540192 37.76684739096238)
1,Seals Stadium,37.76573209856405,-122.41034388542174,stadium,POINT (-122.4103438854217 37.76573209856405)
2,Sun Basket,37.78006362915039,-122.39317321777344,stadium,POINT (-122.3931732177734 37.78006362915039)
3,Stadium Heart,37.779835,-122.389817,stadium,POINT (-122.389817 37.779835)
